uid;name;adm_level;latitude;longitude;country_code;country_name;country_uid;provider;g0;g1;g2;g3;g4
osm_395432;Saint Raphael;2;19.40449264;-72.15888575;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_395432;;
osm_394459;Trou du Nord;2;19.60168554;-71.99557012;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394459;;
osm_394460;Vallieres;2;19.37702388;-71.90579176;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394460;;
osm_391193;Abricots;3;18.61523779;-74.31590877;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393437;osm_391193;
osm_392034;Acul du Nord;3;19.6437457;-72.33343498;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394463;osm_392034;
osm_389656;Anse A Foleur;3;19.86249784;-72.62542618;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393381;osm_389656;
osm_387083;Anse A Galet;3;18.81590378;-72.95274767;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387093;osm_387083;
osm_391409;Anse A Pitre;3;18.15515061;-71.78719784;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394505;osm_391409;
osm_391371;Anse A Veau;3;18.4678277;-73.33592419;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393324;osm_391371;
osm_389326;Anse d'Hainault;3;18.46051844;-74.39957292;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393396;osm_389326;
osm_389613;Anse Rouge;3;19.64310369;-72.95929386;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392360;osm_389613;
osm_391229;Aquin;3;18.28059583;-73.2180973;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394517;osm_391229;
osm_387668;Arcahaie;3;18.88549169;-72.5293943;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387690;osm_387668;
osm_407271;Arnaud;3;18.44747664;-73.3848729;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393324;osm_407271;
osm_389526;Arniquet;3;18.15056681;-73.91877352;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394522;osm_389526;
osm_392017;Bahon;3;19.46443624;-72.12135079;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394488;osm_392017;
osm_391927;Baie de Henne;3;19.69241064;-73.20016732;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393374;osm_391927;
osm_389554;Bainet;3;18.21417372;-72.78479566;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394504;osm_389554;
osm_390394;Baraderes;3;18.47526466;-73.69116342;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_407263;osm_390394;
osm_388595;Bas Limbe;3;19.76096452;-72.39520137;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394493;osm_388595;
osm_391994;Bassin Bleu;3;19.78586237;-72.8411775;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393379;osm_391994;
osm_390544;Beaumont;3;18.44578374;-73.98191277;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393435;osm_390544;
osm_392092;Belladere;3;18.86316167;-71.8115087;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393488;osm_392092;
osm_387124;Belle Anse;3;18.2778471;-72.08627475;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394505;osm_387124;
osm_389607;Bombardopolis;3;19.69104239;-73.34744066;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393374;osm_389607;
osm_390552;Bonbon;3;18.63065126;-74.23750012;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393437;osm_390552;
osm_389868;Borgne;3;19.80222903;-72.57238309;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394465;osm_389868;
osm_392099;Boucan Carre;3;18.95230996;-72.15215884;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393492;osm_392099;
osm_387680;Cabaret;3;18.77398148;-72.3974097;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387690;osm_387680;
osm_391377;Camp Perrin;3;18.34751885;-73.86127478;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394518;osm_391377;
osm_392007;Cap Haitien;3;19.74928937;-72.21882164;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394467;osm_392007;
osm_392048;Capotille;3;19.43977417;-71.71171858;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394456;osm_392048;
osm_391984;Caracol;3;19.68358045;-72.00268076;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394459;osm_391984;
osm_392046;Carice;3;19.35252629;-71.82099898;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394460;osm_392046;
osm_387041;Carrefour;3;18.46668877;-72.41130354;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387318;osm_387041;
osm_389274;Cavaillon;3;18.34145881;-73.63276247;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394517;osm_389274;
osm_389559;Cayes Jacmel;3;18.26107721;-72.40268443;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394516;osm_389559;
osm_392068;Cerca Carvajal;3;19.26027423;-71.93960174;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393486;osm_392068;
osm_392069;Cerca La Source;3;19.18649034;-71.74836659;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393483;osm_392069;
osm_391195;Chambellan;3;18.51720655;-74.33114087;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393437;osm_391195;
osm_391983;Chansolme;3;19.85790347;-72.81155678;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393379;osm_391983;
osm_390451;Chantal;3;18.28025438;-73.96565729;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394518;osm_390451;
osm_389508;Chardonnieres;3;18.33178948;-74.10271311;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394519;osm_389508;
osm_411106;Cite Soleil;3;18.5944847;-72.32527163;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387318;osm_411106;
osm_390386;Corail;3;18.53746553;-73.91115002;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393435;osm_390386;
osm_391428;Cornillon;3;18.68191809;-71.92525319;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_393329;osm_391428;
osm_389509;Coteaux;3;18.23990326;-74.02569141;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394521;osm_389509;
osm_391246;Cotes de Fer;3;18.23105211;-72.94880527;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394504;osm_391246;
osm_387721;Croix des Bouquets;3;18.53857313;-72.1836628;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_393329;osm_387721;
osm_388823;Dame Marie;3;18.55783479;-74.39628173;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393396;osm_388823;
osm_387042;Delmas;3;18.55419519;-72.29335178;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387318;osm_387042;
osm_392107;Desdunes;3;19.31089006;-72.6894324;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392354;osm_392107;
